Date|Period|ptdfFR|ptdfDE|ptdfAT|ptdfBE|ptdfNL|ram|Class|idDayType|TypicalDay
2019-01-22|2|0.00033|-0.00187|0.05654|-0.00044|0|294|winterSe|1|TRUE
2019-01-22|2|0.18706|-0.04745|0.02317|0.11658|0.01125|931|winterSe|1|TRUE
2019-01-22|2|0.14206|-0.01589|0.01796|-0.20409|-0.1165|1899|winterSe|1|TRUE
2019-01-22|2|0.00186|-0.00537|0.0506|0|0|295|winterSe|1|TRUE
2019-01-22|2|0|-0.00463|-0.20036|0|0|972|winterSe|1|TRUE
2019-01-22|2|-0.00966|0.00056|-0.11892|-0.0023|0|603|winterSe|1|TRUE
2019-01-22|2|0.00499|-0.01809|-0.20377|0.00235|0|972|winterSe|1|TRUE
2019-01-22|2|0.00228|0|0.05835|0.00196|0|291|winterSe|1|TRUE
2019-01-22|2|0.00466|0|0.05641|0|0|291|winterSe|1|TRUE
2019-01-22|2|-0.01047|0.01668|0.17694|-0.00558|0|837|winterSe|1|TRUE
2019-01-22|2|0.00018|0.00451|-0.11646|0.00047|0|603|winterSe|1|TRUE
2019-01-22|2|-2e-05|-0.00521|0.05103|0|0|290|winterSe|1|TRUE
2019-01-22|2|-0.11046|0.01245|-0.01424|0.08368|0.09491|833|winterSe|1|TRUE
2019-01-22|2|0.08859|-0.01178|0.0144|0.20437|-0.04084|1073|winterSe|1|TRUE
2019-01-22|2|0.01216|0.01216|0.06444|0.00939|0|280|winterSe|1|TRUE
2019-01-22|2|0.00301|-0.00154|0.05547|0.00322|0|290|winterSe|1|TRUE
2019-01-22|2|0|0|0|-1|0|5500|winterSe|1|TRUE
2019-01-22|2|-0.00149|0.00382|-0.11703|0|0|603|winterSe|1|TRUE
2019-01-22|2|-0.25999|-0.16128|-0.18765|-0.35067|0|870|winterSe|1|TRUE
2019-01-22|2|0|0|-0.19829|0|0|972|winterSe|1|TRUE
2019-01-22|2|-0.00339|0|-0.1205|0|0|596|winterSe|1|TRUE
2019-01-22|2|0.0039|0|-0.19613|0.00129|0|972|winterSe|1|TRUE
2019-01-22|2|-0.00305|-0.00677|-0.19844|0|0|956|winterSe|1|TRUE
2019-01-22|2|0.00661|0|0.05561|0.00187|0|291|winterSe|1|TRUE
2019-01-22|2|0.00082|-0.00157|0.05635|0.00087|0|290|winterSe|1|TRUE
2019-01-22|2|-0.00233|-0.00233|-0.12299|0|0|596|winterSe|1|TRUE
2019-01-22|2|-0.2859|-0.17584|-0.20205|-0.3564|0|870|winterSe|1|TRUE
2019-01-22|2|0.00349|-0.00426|-0.19879|0.00349|0|972|winterSe|1|TRUE
2019-01-22|2|0.01959|0.01959|0.06917|0.01631|0|280|winterSe|1|TRUE
2019-01-22|2|0.00468|0.00057|0.057|0|0|291|winterSe|1|TRUE
2019-01-22|2|0.00431|0|0.05757|0.00413|0|291|winterSe|1|TRUE
2019-01-22|2|0.00082|0.00082|-0.11994|-6e-04|0|596|winterSe|1|TRUE
2019-01-22|3|0|0.00459|-0.1164|0|0|603|winterSe|1|TRUE
2019-01-22|3|0.00636|-0.0062|-0.19773|0.00295|0|972|winterSe|1|TRUE
2019-01-22|3|0.1577|0.19453|0.18712|0.13303|0|409|winterSe|1|TRUE
2019-01-22|3|-0.01055|0.01662|0.17687|-0.00574|0|837|winterSe|1|TRUE
2019-01-22|3|0.15703|0.1944|0.18688|0.13284|0|409|winterSe|1|TRUE
2019-01-22|3|0.00166|-0.00158|0.05682|0.00088|0|295|winterSe|1|TRUE
2019-01-22|3|-0.27568|-0.1704|-0.19557|-0.35424|0|865|winterSe|1|TRUE
2019-01-22|3|0.00574|0|0.05617|0.0019|0|291|winterSe|1|TRUE
2019-01-22|3|0.14217|-0.0159|0.01796|-0.20409|-0.11536|1840|winterSe|1|TRUE
2019-01-22|3|0.00476|0|-0.1956|0.00132|0|972|winterSe|1|TRUE
2019-01-22|3|-0.2718|-0.16763|-0.19252|-0.35408|0|865|winterSe|1|TRUE
2019-01-22|3|0.00018|0.00483|-0.11608|0.00018|0|603|winterSe|1|TRUE
2019-01-22|3|0.00086|-0.00254|0.05563|0|0|295|winterSe|1|TRUE
2019-01-22|3|0.00381|-0.00062|0.05677|0|0|295|winterSe|1|TRUE
2019-01-22|3|0.01772|0.01772|0.06772|0.0134|0|280|winterSe|1|TRUE
2019-01-22|3|0|0|-0.12249|0.00195|0|603|winterSe|1|TRUE
2019-01-22|3|0.00146|-0.01696|-0.20527|0.00146|0|972|winterSe|1|TRUE
2019-01-22|3|0.06667|-0.0089|0.01063|0.24784|-0.01367|1127|winterSe|1|TRUE
2019-01-22|3|0.00155|-0.01697|-0.20524|0.00155|0|972|winterSe|1|TRUE
2019-01-22|3|0.16119|0.197|0.18988|0.13872|0|409|winterSe|1|TRUE
2019-01-22|3|0.01019|-0.01848|-0.20108|0.00414|0|972|winterSe|1|TRUE
2019-01-22|3|0.00292|0|0.05781|0.00133|0|291|winterSe|1|TRUE
2019-01-22|3|-0.00986|0.01502|0.17627|-0.00379|0|837|winterSe|1|TRUE
2019-01-22|3|-0.0015|0.00459|-0.11594|0|0|603|winterSe|1|TRUE
2019-01-22|3|0.00427|0|0.05678|0.00049|0|291|winterSe|1|TRUE
2019-01-22|3|-0.00472|-0.01076|0.04327|-0.00565|0|294|winterSe|1|TRUE
2019-01-22|3|0.01577|0.01577|0.06664|0.01229|0|280|winterSe|1|TRUE
2019-01-22|3|0.0237|0.0237|0.07134|0.01812|0|280|winterSe|1|TRUE
2019-01-22|3|0.00084|0.00084|-0.11966|-0.00113|0|596|winterSe|1|TRUE
2019-01-22|3|0.18672|-0.04745|0.02317|0.11657|0.01061|969|winterSe|1|TRUE
2019-01-22|3|0.02008|0.02008|0.06905|0.01482|0|280|winterSe|1|TRUE
2019-01-22|3|-0.14216|0.01589|-0.01796|0.20414|0.11535|1389|winterSe|1|TRUE
2019-01-22|3|0.00431|0|0.05738|0.00329|0|291|winterSe|1|TRUE
2019-01-22|3|0.0245|-0.00412|0.00059|0.06247|0.22495|1035|winterSe|1|TRUE
2019-01-22|3|0.00158|0.00158|-0.12081|0.00158|0|603|winterSe|1|TRUE
2019-01-22|3|0.16093|0.19701|0.18982|0.13884|0|409|winterSe|1|TRUE
2019-01-22|3|-0.27281|-0.17139|-0.19618|-0.35402|0|865|winterSe|1|TRUE
2019-01-22|3|0.00452|-0.00687|-0.19852|0|0|972|winterSe|1|TRUE
2019-01-22|3|0.00329|-0.00093|-0.19738|0.00329|0|972|winterSe|1|TRUE
2019-01-22|3|0.01631|0.01631|0.06704|0.01308|0|280|winterSe|1|TRUE
2019-01-22|3|-0.01449|0|-0.11691|-0.00367|0|596|winterSe|1|TRUE
2019-01-22|3|0.00418|-0.00595|-0.19927|0.00418|0|972|winterSe|1|TRUE
2019-01-22|3|0.00892|-0.01959|-0.20225|0.00363|0|972|winterSe|1|TRUE
2019-01-22|3|0.00189|0.00189|-0.11857|0|0|596|winterSe|1|TRUE
2019-01-22|3|0.00307|-0.00157|0.0563|0.00238|0|295|winterSe|1|TRUE
2019-01-22|3|-0.26469|-0.16846|-0.19035|-0.35779|0|865|winterSe|1|TRUE
2019-01-22|3|0.0013|-0.0018|0.05651|0|0|295|winterSe|1|TRUE
2019-01-22|3|0.00542|0|0.05661|0.00297|0|291|winterSe|1|TRUE
2019-01-22|3|0|0|-0.19727|0|0|967|winterSe|1|TRUE
2019-01-22|3|0.16711|0.20494|0.20119|0.14256|0|409|winterSe|1|TRUE
2019-01-22|3|0.00188|0|-0.19537|-0.00143|0|967|winterSe|1|TRUE
2019-01-22|3|0.00307|0|0.05786|0.00196|0|291|winterSe|1|TRUE
2019-01-22|3|-0.04328|-0.03546|-0.01555|0.01245|0.05584|615|winterSe|1|TRUE
2019-01-22|3|0.00344|-0.00275|0.05369|0|0|295|winterSe|1|TRUE
2019-01-22|3|0.00891|-0.01837|-0.20199|0.00486|0|972|winterSe|1|TRUE
2019-01-22|3|0.00107|0.00107|-0.12122|0.0023|0|603|winterSe|1|TRUE
